ID,Title,Company,Location,Date Posted
engineer,Chief Civil Engineer,Worley,Abeokuta,PostedToday
engineer,Senior Data Engineer,Flutterwave,Lagos,PostedPosted 4 days ago
engineer,Chief Engineer M/F,Bourbon,Nigeria,PostedPosted 30+ days ago
engineer,Facilities/Process Engineer,ASPEN Energy Nigeria Limited,Lagos,PostedPosted 30+ days ago
engineer,Senior Mobile Engineer (React Native),Smart Gate Technologies and Consulting,Nigeria,PostedPosted 15 days ago
engineer,Senior Software Engineer,Trusoft Limited,Lagos,PostedPosted 9 days ago
engineer,Sales Engineer,Hexagon Engineering Limited,Lagos,PostedPosted 30+ days ago
engineer,Civil Structural Engineer,Ocean Crest Technologies Limited,Lagos,PostedPosted 12 days ago
engineer,Quality Assurance/Cyber Security Engineer,HelloMe Limited,Lagos,PostedPosted 29 days ago
engineer,"Senior Engineer, Mines",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,NOC Engineer,Alfred & Victoria Associates,Lagos,PostedPosted 22 days ago
engineer,Senior Full Stack Engineer,AltexSoft,Nigeria,PostedPosted 30+ days ago
engineer,Senior Business Intelligence Engineer,NewGlobe,Lagos,PostedPosted 30+ days ago
engineer,Feature Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,Structural (Civil) Engineer,Adozillion Homes and Realty,Lagos,PostedPosted 5 days ago
engineer,Network Engineer,C3PROJECT,Nigeria,PostedPosted 27 days ago
engineer,"Failure Analysis Engineer - Inverters, Lagos (Nigeria)",Sun King,Nigeria,PostedPosted 30+ days ago
engineer,Backend Engineer (GoLang | Fullstack),Yaraa.io,Nigeria,PostedPosted 22 days ago
engineer,PHP Senior Engineering Manager - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Senior NestJs Engineer,Tribesquare,Lagos,PostedPosted 6 days ago
engineer,Microsoft BI Developer Quality Assurance Engineer,NewGlobe,Lagos,PostedPosted 29 days ago
engineer,Service Sales Engineer,Bühler,Ikeja,PostedPosted 21 days ago
engineer,Senior Software Engineer,Paga Limited,Lagos,PostedPosted 19 days ago
engineer,SYSTEMS COMPLETION ENGINEER/SPECIALIST III,Scruples Resources,Lagos,PostedPosted 28 days ago
engineer,Lead Electrical Engineer (Future projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,NOC Engineer (Field),Alfred & Victoria Associates,Lagos,PostedPosted 7 days ago
engineer,Senior Software Engineer,Bincom ICT Solutions,Lagos,PostedPosted 30+ days ago
engineer,Construction Quality Engineer,Terra Energy Services Nigeria Limited,Rivers,PostedPosted 22 days ago
engineer,Senior Software Engineers,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Principal Mechanical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,OCONUS Mechanical Engineer,Markon Solutions,Lagos,PostedPosted 30+ days ago
engineer,Biomedical Technician/Engineer,AAA Caliberations Ltd,Lagos,PostedPosted 30+ days ago
engineer,Data Center Facility Engineers,Main One,Lagos,PostedPosted 30+ days ago
engineer,Senior Engineer - System Integration,Optiva,Nigeria,PostedPosted 30+ days ago
engineer,Engineer - IP Security Planning.Information Technology,MTN Group,Lagos,PostedPosted 5 days ago
